id,isbn,title_short,title,catalogue,cutter,pub_year,copy_info,get_link,note,reprint,removed,keepsite,eisbn
143,9789869236850,世界記憶力,世界記憶力冠軍的高效記憶筆記,176.33,8455,2016,,,,,,,
144,9789575529673,最新三體書,最新三體書寫習字帖,943.97,8763,2011,,fail,,,,,
145,9789575521202,鋼筆字臨摹,鋼筆字臨摹範典,943.97,8763,1986,,,,,,,
146,9789575521431,寫好鋼筆字,寫好鋼筆字的書,943.97,8763,1986,,fail,,,,,
147,9789575266981,MTB自行車,MTB自行車改裝＆維修(平裝),477.32,8663,2007,,fail,,,,,
148,9789573272946,郭老師跑步,郭老師的跑步課：從入門到進階，300個正確的跑步要訣,528.946,723,2013,,,,,,,
149,9789861205502,跑步，該怎,跑步，該怎麼跑？－學會「姿勢跑法」，提高跑步效能、不受傷！(平裝),548.946,6605,2011,,,,,,,
150,9789575268459,機車修保,我的第一本！機車維修&保養(平裝),447.33,8946,2009,,fail,,,,,
151,9789866056796,汽車維修Diy,汽車維修DIY：新手都能學會自己來的汽車保養圖解全集,447.166,4353,2017,,,,,,,
152,9789571362816,2050科幻,2050科幻大成真：超能力、心智控制、人造記憶、遺忘藥丸、奈米機器人，即將改變我們的世界,394.911,8476,2015,,,,,,,
153,9789576474026,圍棋初學指,圍棋初學指南,997.11,4432,1999,,fail,,,,,
154,9789865802110,花草遊戲69,花草遊戲No.69日日鮮採！用盆栽就有好結果的家庭果樹,435.3,4432,2013,,,,,,,
155,9789866086632,花草遊戲59,花草遊戲No.59 活用解析！我的鄉村風花園(平裝),435,1132,2001,,,,,,,
156,9789578804739,ACLS精華,ACLS精華,415.22,4772,2006,,fail,,,,,
157,9789865623142,人體解剖著,人體解剖著色學習手冊,394.025,2722,2015,,,,,,,
158,9789866787362,彈指之間12,吉他手冊系列叢書－彈指之間十二版（附CD）(平裝),916.65,8356,2008,,fail,,,,,
159,9789866033438,人體解剖全,人體解剖全書,394,6010,2013,,,,,,,
